subject-English	題目-Chinese	Answer-English	答案-Chinese	構面
Digital channels and customer touchpoints have a specific and appropriate governance framework.	公司對於數位化通路與客戶接觸管道有具體且適當的管理架構。	Yes/True、No/False	是、否	治理架構
Decision making does not take place at the necessary speed to effectively manage digital risks.	有效的數位風險管理決策並未依所須的速度發生。	Yes/True、No/False	是、否	治理架構
Policies always consider any relevant digital issues.	公司政策將數位化議題納入考慮。	Yes/True、No/False	是、否	治理架構
Specific policies exist to address new digital issues e.g. the use of social media, bring your own device.	公司具備解決新數位議題的規範 例：如何使用社群媒體。	Yes/True、No/False	是、否	治理架構
Implementation of organisational governance framework does not uilise digital communications methods.	公司並未使用數位化的溝通方法來管理組織架構。	Yes/True、No/False	是、否	治理架構
There is no overarching digital steering group or equivalent.	公司內部缺乏數位化策劃小組或同等組織。	Yes/True、No/False	是、否	治理架構
Ownership of digital opportunities and risks within the Board is clear.	公司董事會清楚掌握數位化的機會與風險。	Yes/True、No/False	是、否	治理架構
The Board is regularly and well briefed on digital issues affecting the organisation's market.	董事會有定期了解影響其企業所在市場的數位化議題。	Yes/True、No/False	是、否	治理架構
Where appropriate, individuals have KPIs designed to drive the exploitation of digital opportunities or mitigation of digital risks.	公司員工必須針對數位化機會的推動、風險的降低，設計關鍵績效指標(KPI)。	Yes/True、No/False	是、否	衡量及揭露
Investment decisions do not support the long term development of digital capabilities within the organisation.	公司投資決策不支持組織內數位化能力的長遠發展。	Yes/True、No/False	是、否	治理架構
There is no comprehensive set of digital KPIs.	公司缺乏一套完整的數位化關鍵績效指標(KPI)。	Yes/True、No/False	是、否	衡量及揭露
Measurement of digital channel data is timely.	公司能即時衡量數位化通路數據。	Yes/True、No/False	是、否	衡量及揭露
Reporting of digital KPIs is substantially automated.	公司能自動產出數位化關鍵績效指標 (KPI)報告。	Yes/True、No/False	是、否	衡量及揭露
The organisation makes use of self-learning systems.	組織內部運用自主學習系統。	Yes/True、No/False	是、否	治理架構
Data-driven scenario planning is used by the organisation.	組織使用資料導向的業務情境規劃。	Yes/True、No/False	是、否	衡量及揭露
Root cause analysis is not undertaken when incidents occur.	當發生事件時公司不會分析根本原因。	Yes/True、No/False	是、否	事件管理
Key metrics and performance indicators are reported in real time.	關鍵指標和績效指標能即時揭露。	Yes/True、No/False	是、否	衡量及揭露
Digital dashboarding is used.	公司使用數位化儀表板。	Yes/True、No/False	是、否	衡量及揭露
KPI definitions are not clear.	公司對關鍵績效指標（KPI）的定義不明確。	Yes/True、No/False	是、否	衡量及揭露
There is regular debate over the accuracy of data in reports.	公司針對報告數據的準確性經常有爭論。	Yes/True、No/False	是、否	衡量及揭露
Change management is a recognised discipline within the organisation, with identifiable digital specialists.	變革管理被認定為公司內部的教條並有數位化專家參與其中。	Yes/True、No/False	是、否	數位化變革管理
There is a dedicated digital change portfolio with its own budget.	數位化變革業務有其專屬預算。	Yes/True、No/False	是、否	數位化變革管理
The realisation of expected benefits from digital change is not tracked post-implementation.	數位化變革預期利益在實施後不會進行追蹤。	Yes/True、No/False	是、否	數位化變革管理
There is a digital change management training programme in place that is available to all relevant employees.	公司已針對所有相關員工設計一套數位化變革管理訓練	Yes/True、No/False	是、否	數位化變革管理
A continuous integration environment is available to support rapid implementation of bug fixes and other changes.	公司內部是一個能迅速修正錯誤並因應其他變化的持續整合環境。	Yes/True、No/False	是、否	數位化變革管理
Small changes can be effected directly by the business, subject to governance, but without requiring a full IT project.	小型變革能直接由業務面進行並受監督，不需有完整的IT專案才能進行。	Yes/True、No/False	是、否	數位化變革管理
IT and the business work effectively to deliver digital projects at speed.	IT和企業組織能有效且快速的執行並完成數位專案。	Yes/True、No/False	是、否	數位化變革管理
Digital projects can be delivered in a variety of ways such as agile or waterfall depending on the needs of the project.	數位化專案可以各種方式進行，例如敏捷或是瀑布式，取決於專案的需求。	Yes/True、No/False	是、否	數位化變革管理
There is an accurate econometric model that underpins digital investment cases.	企業有精準的計量經濟模型來支援數位投資計畫。	Yes/True、No/False	是、否	數位化變革管理
There is no capability to produce rapid digital prototypes.	不具產生快速數位化原型的能力。	Yes/True、No/False	是、否	數位化變革管理
Mobile technology is widely available to employees across the business.	公司員工廣泛的使用行動科技技術。	Yes/True、No/False	是、否	賦予員工機動性
Employees are able to work remotely where this is agreed.	公司許可員工遠距工作。	Yes/True、No/False	是、否	賦予員工機動性
A wide range of self service functions are used by employees within the business.	公司員工廣泛使用自助服務功能。	Yes/True、No/False	是、否	賦予員工機動性
There is an acceptable use policy regarding the use of Bring Your Own Device within the business.	公司准許員工使用自己的設備工作。	Yes/True、No/False	是、否	賦予員工機動性
There is no intranet for employees.	公司未替員工設置內部網路。	Yes/True、No/False	是、否	賦予員工機動性
The board fully understand the technological needs of employees.	董事會充分了解員工使用科技的需求。	Yes/True、No/False	是、否	賦予員工機動性
Appropriate budget is in place for the procurement of worker mobility solutions.	公司分配足夠的預算為員工的行動化方案進行採購。	Yes/True、No/False	是、否	賦予員工機動性
Remote access is available for employees.	員工可使用遠端連線服務。	Yes/True、No/False	是、否	賦予員工機動性
Cloud technologies are used where appropriate.	公司妥善的使用雲端技術。	Yes/True、No/False	是、否	賦予員工機動性
Worker mobility enablement is a driver for the business.	對企業來說，員工使用行動化載具程度是執行業務時的關鍵因子。	Yes/True、No/False	是、否	賦予員工機動性
Customer sales journeys are Straight-Through-Processed with no manual intervention required.	客戶銷售為直通式自動化，無人工從中介入需要。	Yes/True、No/False	是、否	賦予員工機動性
Customer queries and complaints are managed through a digital case management and workflow system.	公司使用數位化方案與工作流程，加以管理客戶的諮詢及抱怨。	Yes/True、No/False	是、否	流程數位化
Work that inherently requires human input is supported by relevant digital tools and enablers.	使用適當的數位化工具輔助原為人工投入的工作內容。	Yes/True、No/False	是、否	流程數位化
Internal process (eg HR, Finance) are not online.	內部流程 (如​​人力資源面、財務面等)尚未以線上方式(online)進行。	Yes/True、No/False	是、否	流程數位化
Peripatetic staff are provided with mobile digital tools to support their work.	提供外勤員工行動數位工具以支持其工作。	Yes/True、No/False	是、否	賦予員工機動性
Physical customer sales and service locations have direct access to digital processes such as order placement and management.	實體客戶銷售和服務據點可運用數位化流程，如：訂單安排和管理。	Yes/True、No/False	是、否	流程數位化
Where a process is not STP, workarounds are in place so that it appears fully digitised to the customer.	即便非制式的直通式流程(Straight-Through-Processed)，有妥善方式提供數據資訊予客戶。	Yes/True、No/False	是、否	流程數位化
Paper is largely used instead of digital image and workflow systems.	公司使用紙本的比例仍大，而非使用數位化的圖像與工作流程系統。	Yes/True、No/False	是、否	流程數位化
Records are principally maintained in paper form.	公司的記錄主要以紙本型式進行儲存。	Yes/True、No/False	是、否	流程數位化
Back end systems such as supply chain, Finance and HR are highly integrated with digital front ends for staff.	供應鏈、財務和人力資源等後端系統與前端的數位系統是高度整合並讓員工所用。	Yes/True、No/False	是、否	流程數位化
Automated incident detection mechanisms are in place.	自動偵測事件及應變機制已設立完善。	Yes/True、No/False	是、否	事件管理
Root cause analysis of incidents is not routinely undertaken.	公司並未定期針對事件或意外的根本原因進行分析。 	Yes/True、No/False	是、否	事件管理
Actions from investigations into incidents are always followed up.	發生事件的調查行動總有被持續關注追蹤。	Yes/True、No/False	是、否	事件管理
Roles and responsibilities for incident response and resolution are not clear.	針對事件應變及解決方案的角色和責任歸屬是劃分不明確的。	Yes/True、No/False	是、否	事件管理
The incident management framework is well established, with digital-specific components.	事件應變管理機制已建置完善，並佐以數位化方式處理。 	Yes/True、No/False	是、否	事件管理
Some automated incident mitigations are in place.	公司具備部分的事件應變自動化措施 。	Yes/True、No/False	是、否	事件管理
Co-ordination of incident management with other relevant organisations takes place.	公司具有相關影響單位一起進行事件應變的管理方式。	Yes/True、No/False	是、否	事件管理
Aggregate and specific data on levels and types of incident is produced in a timely manner.	能及時產出各種事件中的多面向數據 。	Yes/True、No/False	是、否	事件管理
No exercises are run to practise incident management responses.	公司沒有針對事件應變管理進行訓練。	Yes/True、No/False	是、否	事件管理
Resilience is not built into the digital architecture and there are a number of single points of failure.	數位架構不具有彈性且存有錯誤。	Yes/True、No/False	是、否	內容管理
There is a digital content management system in use for web and mobile channels.	公司針對網站和行動通路設置數位內容管理系統。	Yes/True、No/False	是、否	內容管理
Content analytics are embedded throughout the organisation.	整個組織使用數位內容分析。	Yes/True、No/False	是、否	內容管理
Content strategy is closely aligned to business strategy.	數位內容策略與企業經營策略緊密連結。	Yes/True、No/False	是、否	內容管理
There is a content managment training programme in place.	具有數位內容管理培訓計劃。	Yes/True、No/False	是、否	內容管理
There is a fundamental desire for employees to work within the content management function.	員工對於與數位內容管理部門合作具有充分熱情。	Yes/True、No/False	是、否	內容管理
There is no content management calendar in place.	公司沒有針對數位化內容管理訂定時程規劃。	Yes/True、No/False	是、否	內容管理
All content is fully compliant to the same high level.	所有的數位化內容與所屬層級一致。	Yes/True、No/False	是、否	內容管理
All employees are aware of the risk policy associated with content management.	所有的員工皆了解內容管理相關的風險政策。	Yes/True、No/False	是、否	內容管理
There is no budget assigned to the content management function.	公司沒有分配預算給內容管理部門。 	Yes/True、No/False	是、否	內容管理
There is no digital information architecture in place.	公司缺乏適當的數位化資訊架構。 	Yes/True、No/False	是、否	內容管理
